Episode,C1,C2,C3,C4
1,187.74833333333333,120.53477777777778,159.67877777777778,143.9572222222222
2,180.44766666666666,116.48688888888888,169.5991111111111,134.49466666666666
3,163.773,109.68633333333334,175.794,135.9092222222222
4,172.79077777777778,107.88577777777778,163.91733333333335,112.40188888888889
5,182.43655555555554,119.40722222222222,176.8318888888889,145.078
6,137.6952222222222,108.38555555555556,165.9968888888889,141.38711111111112
7,171.79644444444443,108.90788888888889,169.37377777777778,133.84522222222222
8,186.77455555555557,113.128,161.54011111111112,137.9491111111111
9,179.73344444444444,127.85355555555556,179.18044444444445,142.094
10,182.37066666666666,114.46655555555556,165.801,108.26822222222222
11,161.31222222222223,113.892,155.88011111111112,128.9131111111111
12,168.304,129.30944444444444,160.74255555555555,144.12166666666667
13,193.63966666666667,116.77377777777778,176.011,118.73522222222222
14,143.4728888888889,135.24333333333334,162.51577777777777,159.59177777777776
15,160.46411111111112,99.021,168.7221111111111,133.02155555555555
16,158.713,112.0081111111111,164.2521111111111,106.0068888888889
17,155.68722222222223,105.872,158.08566666666667,117.15611111111112
18,170.87844444444445,113.13044444444445,145.17233333333334,111.75966666666666
19,166.51155555555556,128.162,161.77488888888888,149.84377777777777
20,199.7241111111111,120.29966666666667,173.85422222222223,162.28411111111112
21,183.0781111111111,119.26033333333334,157.13033333333334,123.59577777777778
22,170.1551111111111,105.70866666666667,174.19944444444445,136.47844444444445
23,183.6952222222222,127.06844444444444,184.0451111111111,154.75622222222222
24,178.8121111111111,108.29288888888888,189.2821111111111,147.64077777777777
25,166.0667777777778,125.75977777777777,161.1532222222222,145.09666666666666
26,207.20733333333334,137.3328888888889,194.707,120.56033333333333
27,201.77411111111113,113.91044444444445,184.42877777777778,127.18688888888889
28,170.80044444444445,103.01144444444445,158.85188888888888,124.99566666666666
29,208.88688888888888,146.06877777777777,176.623,128.63333333333333
30,197.75344444444445,109.16411111111111,190.94622222222222,104.43811111111111
31,191.261,124.351,181.06544444444444,138.04122222222222
32,177.17777777777778,132.5021111111111,153.65588888888888,142.7298888888889
33,189.7751111111111,131.95744444444443,173.74722222222223,158.917
34,187.22822222222223,134.84344444444446,173.44444444444446,152.0967777777778
35,156.312,137.6408888888889,171.1641111111111,140.75277777777777
36,177.60133333333334,118.33555555555556,157.938,124.13044444444445
37,180.93644444444445,142.07822222222222,171.61544444444445,137.34766666666667
38,164.96422222222222,136.9481111111111,172.9531111111111,172.6501111111111
39,203.10288888888888,117.70055555555555,167.256,135.06122222222223
40,208.16366666666667,147.20733333333334,184.78822222222223,168.2938888888889
41,188.74155555555555,108.45744444444445,173.9452222222222,107.6198888888889
42,208.253,133.908,196.30544444444445,138.51222222222222
43,191.39344444444444,135.47655555555556,169.1671111111111,149.53144444444445
44,168.72588888888887,104.58711111111111,144.58311111111112,108.34844444444444
45,192.0017777777778,122.74366666666667,175.26766666666666,144.99866666666668
46,182.29755555555556,127.87211111111111,181.3908888888889,159.76555555555555
47,161.31588888888888,133.486,154.16166666666666,136.01877777777779
48,172.81644444444444,116.64333333333333,145.6341111111111,138.26811111111112
49,191.5377777777778,140.66833333333332,196.17233333333334,142.27177777777777
50,157.749,127.63833333333334,176.82366666666667,159.495
51,176.74122222222223,128.58277777777778,159.71244444444446,145.24444444444444
52,204.225,143.425,161.46833333333333,133.36211111111112
53,187.66855555555554,129.7981111111111,160.52522222222223,129.21377777777778
54,188.4988888888889,145.29133333333334,181.8798888888889,177.40411111111112
55,190.19766666666666,146.30522222222223,155.92344444444444,131.59066666666666
56,176.3951111111111,124.82688888888889,164.36544444444445,128.7478888888889
57,188.77277777777778,148.69066666666666,180.31866666666667,129.5938888888889
58,180.16788888888888,131.92466666666667,152.99022222222223,153.0421111111111
59,176.41544444444443,129.43422222222222,185.26566666666668,145.55077777777777
60,213.98455555555554,161.9918888888889,208.54111111111112,133.38444444444445
61,171.365,148.3178888888889,191.12433333333334,154.3838888888889
62,169.50533333333334,131.04966666666667,178.39977777777779,166.44133333333335
63,182.71377777777778,146.1941111111111,164.78266666666667,148.974
64,212.83,141.77133333333333,189.53644444444444,145.9177777777778
65,191.213,137.6381111111111,183.30344444444444,117.90666666666667
66,177.8312222222222,129.8298888888889,163.54455555555555,105.776
67,184.1161111111111,148.81533333333334,178.76055555555556,171.16022222222222
68,182.74133333333333,111.14155555555556,166.562,155.88744444444444
69,164.72088888888888,116.20633333333333,146.14355555555557,133.50144444444445
70,184.92344444444444,143.63455555555555,179.6948888888889,145.97166666666666
71,186.7058888888889,114.82411111111111,174.62455555555556,108.68311111111112
72,176.30133333333333,152.21144444444445,170.15177777777777,160.81566666666666
73,194.68833333333333,111.50122222222222,180.98844444444444,111.14411111111112
74,196.75055555555556,122.93777777777778,171.62355555555555,117.32155555555556
75,159.65177777777777,129.28877777777777,127.77511111111112,145.62433333333334
76,188.95244444444444,155.09766666666667,196.5451111111111,139.37333333333333
77,195.11155555555555,121.64122222222223,156.3781111111111,125.93688888888889
78,192.63444444444445,156.441,206.4831111111111,186.2061111111111
79,156.45711111111112,147.6508888888889,166.19788888888888,182.31688888888888
80,154.86933333333334,146.79266666666666,187.009,179.69188888888888
81,189.38577777777778,116.68711111111111,180.393,109.60133333333333
82,173.4187777777778,139.31844444444445,182.50844444444445,155.14277777777778
83,202.9318888888889,140.83388888888888,191.13822222222223,158.15544444444444
84,155.28277777777777,107.61411111111111,155.167,144.84
85,183.39822222222222,100.85622222222223,177.68488888888888,119.29055555555556
86,204.37466666666666,190.68588888888888,212.76366666666667,169.27322222222222
87,221.465,195.4657777777778,229.79333333333332,179.29611111111112
88,207.48788888888888,154.14766666666668,188.58733333333333,121.38333333333334
89,144.71622222222223,112.08155555555555,132.66966666666667,127.15355555555556
90,153.56944444444446,120.54,130.63944444444445,123.28055555555555
91,173.6701111111111,150.546,194.26844444444444,155.25644444444444
92,186.12066666666666,164.69977777777777,185.65311111111112,174.8718888888889
93,155.6758888888889,145.77744444444446,168.54155555555556,148.41455555555555
94,149.28644444444444,146.6568888888889,173.61111111111111,130.3968888888889
95,146.55911111111112,167.3901111111111,146.37477777777778,176.90566666666666
96,154.72788888888888,167.43,132.58455555555557,155.06511111111112
97,185.9897777777778,174.09411111111112,176.64933333333335,151.02622222222223
98,164.524,116.46011111111112,168.84266666666667,156.23611111111111
99,173.62666666666667,128.002,141.13222222222223,144.63533333333334
100,179.10922222222223,119.37966666666667,160.20655555555555,123.99688888888889
